秦 使 庶 长 疾 与 战 修 鱼 ， 虏 其 将 申 差 ， 败 赵 公 子 渴 、 韩 太 子 奂 ， 斩 首 八 万 二 千 。 八 年 ， 张 仪 复 相 秦 。 九 年 ， b 司 马 错 e 伐 m 蜀 n ， 灭 之	11	ORG	PER	1
王 曰 “ m 先 皇 帝 n 经 营 王 业 三 十 余 年 ， 今 日 尚 为 b 友 珪 e 所 杀 ， 汝 等 安 所 逃 死 乎 ” 因 出 太 祖 画 像 示 诸 将 而 泣 曰 “ 汝 能 趋 洛 阳 擒 逆 贼 ， 则 转 祸 为 福 矣 ” 军 士 皆 呼 万 岁 ， 请 王 为 主 ， 王 乃 遣 人 趣 象 先 等	29	PER	PER	1
封 公 之 四 子 为 列 侯 。 追 尊 b 皇 祖 太 王 e 曰 m 太 皇 帝 n ， 考 武 王 曰 武 皇 帝 ， 尊 王 太 后 曰 皇 太 后 。 赐 男 子 爵 人 一 级 ， 为 父 后 及 孝 悌 力 田 人 二 级	6	PER	PER	1
夏 四 月 庚 子 ， 司 徒 韩 暨 薨 。 壬 寅 ， 分 m 沛 国 n 萧 、 相 、 b 竹 邑 e 、 符 离 、 蕲 、 铚 、 龙 亢 、 山 桑 、 洨 、 虹 〔 洨 音 胡 交 反 。 虹 音 绛 。 〕 十 县 为 汝 阴 郡	27	LOC	LOC	1
韫 无 行 。 诵 以 女 妻 穆 提 婆 子 怀 廆 ， 超 迁 临 漳 令 、 仪 同 三 司 。 b 韫 e 与 陆 令 萱 女 弟 私 通 ， 令 萱 奏 授 太 子 舍 人 。 弟 m 瑾 n ， 字 道 瑜 ， 名 在 魏 书 。	18	PER	PER	1
位 给 事 黄 门 侍 郎 、 卫 将 军 ， 右 光 禄 大 夫 ， 卒 。 谥 曰 文 侯 。 b 元 弼 e ， 字 辅 宗 ， m 魏 司 空 晖 n 之 子 。 〔 G X ： 以 下 文 字 系 他 本 窜 入 。	25	PER	PER	1
桀 败 於 有 娀 之 虚 ， 桀 奔 於 鸣 条 ， 夏 师 败 绩 。 汤 遂 伐 三  ， 俘 厥 宝 玉 ， 义 伯 、 仲 伯 作 典 宝 。 b 汤 e 既 胜 夏 ， 欲 迁 其 社 ， 不 可 ， 作 m 夏 社 n 。 伊 尹 报	35	BOO	PER	1
封 商 纣 子 禄 父 殷 之 馀 民 。 m 武 王 n 为 殷 初 定 未 集 ， 乃 使 其 弟 管 叔 鲜 、 b 蔡 叔 度 e 相 禄 父 治 殷 。 已 而 命 召 公 释 箕 子 之 囚	39	PER	PER	1
除 顿 丘 守 ， 卒 。 m 郑 述 祖 n b 述 祖 e ， 字 恭 文 ， 荥 阳 开 封 人 。 祖 羲 ， 魏 中 书 令 。 父 道 昭 ， 魏 秘 书 监 。 祖 少 聪 敏 ， 好 属 文 ， 有 风 检 ， 为 先 达 所 称 誉	17	PER	PER	1
三 十 九 年 ， 齐 田 常 杀 其 君 简 公 。 四 十 一 年 ， 楚 灭 陈 。 孔 子 卒 。 四 十 二 年 ， 敬 王 崩 ， 子 元 王 仁 立 。 b 元 王 e 八 年 ， 崩 ， 子 m 定 王 介 n 立	12	PER	PER	1
○ 赵 延 义 赵 延 义 ， 字 子 英 ， 秦 州 人 也 。 曾 祖 省 躬 通 数 术 ， 避 乱 于 蜀 。 父 温 珪 ， 事 蜀 b 王 建 e m 建 n 为 司 天 监 ， 每 为 占 吉 凶 ， 小 不 中 ， 辄 加 诘 责	10	PER	PER	1
出 子 二 年 ， 庶 长 改 迎 灵 公 之 子 献 公 于 b 河 西 e 而 立 之 。 杀 出 子 及 其 母 ， 沈 之 渊 旁 。 m 秦 n 以 往 者 数 易 君 ， 君 臣 乖 乱 ， 故 晋 复 彊 ， 夺 西 地 。	47	ORG	LOC	1
赦 罪 人 迁 之 南 阳 。 b 白 起 e 攻 赵 ， 取 代 光 狼 城 。 又 使 司 马 错 发 陇 西 ， 因 蜀 攻 m 楚 n 黔 中 ， 拔 之 。 二 十 八 年 ， 大 良 造 起 攻 ， 取 鄢 、 邓 ， 赦 罪 人 迁 之	11	ORG	PER	1
卷 五 十 六 · 杂 传 第 四 十 四 ○ 和 凝 b 和 凝 e ， 字 m 成 绩 n ， 郓 州 须 昌 人 也 。 其 九 世 祖 逢 尧 为 唐 监 察 御 史 ， 其 后 世 遂 不 复 宦 学	34	PER	PER	1
以 表 子 详 为 骑 都 尉 。 其 年 ， 帝 追 谥 太 后 父 b 永 e 为 m 安 阳 乡 敬 侯 n ， 母 董 为 都 乡 君 。 迁 表 昭 德 将 军 ， 加 金 紫 ， 位 特 进 ， 表 第 二 子 训 为 骑 都 尉	6	PER	PER	1
五 代 之 际 ， 不 可 以 为 无 人 ， 吾 得 全 节 之 士 三 人 焉 ， 作 《 死 节 传 》 。 ○ 王 彦 章 〔 裴 约   刘 仁 赡 附 〕 b 王 彦 章 e ， 字 m 子 明 n ， 郓 州 寿 张 人 也	34	PER	PER	1
我 岂 苟 活 者 ” 遂 见 杀 ， 年 六 十 一 。 晋 高 祖 时 ， 追 赠 彦 章 太 师 。 与 彦 章 同 时 有 b 裴 约 e 者 ， m 潞 州 n 之 牙 将 也	8	LOC	PER	1
